id,division,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024
4,등록대수(만대),2099,2180,2253,2320,2368,2437,2491,2550,2595,2630
5,"전년대비 증가대수(천대)",871,813,725,674,475,689,545,592,446,349
6,"전년대비 증감비(%)",4.3,3.9,3.3,3,2,2.9,2.2,2.4,1.7,1.3
